"","num","lon","lat","latlon","notes","location","spininital","spinfinish","runs","done"
"317",317,-88.25,44.75,"lat44.75lon-88.25","1.0-degree","","","","","DO"
"333",333,-88.25,46.75,"lat46.75lon-88.25","1.0-degree","","","","","DO"
"1118",1118,-88.25,42.25,"lat42.25lon-88.25","0.5-degree","","","","","DO"
"301",301,-91.25,43.75,"lat43.75lon-91.25","1.0-degree","","","","","DO"
"1292",1292,-91.25,45.25,"lat45.25lon-91.25","0.5-degree","","","","","DO"
"314",314,-93.25,44.75,"lat44.75lon-93.25","1.0-degree","","","","","DO"
"657",657,-95.75,46.25,"lat46.25lon-95.75","0.5-degree","","","","","DO"
"899",899,-92.75,38.75,"lat38.75lon-92.75","0.5-degree","","","","","DO"
"903",903,-88.75,38.75,"lat38.75lon-88.75","0.5-degree","","","","","DO"
"309",309,-75.25,43.75,"lat43.75lon-75.25","1.0-degree","","","","","DO"
"1212",1212,-73.75,43.75,"lat43.75lon-73.75","0.5-degree","","","","","DO"
"482",482,-72.25,43.75,"lat43.75lon-72.25","1.0-degree","","","","","DO"
"343",343,-69.25,46.75,"lat46.75lon-69.25","1.0-degree","","","","","DO"
