,longitude,latitude,Site.code,Description,Year.cored,Plot name,TRstatus,PALEON_num,lon_PALEON,lat_PALEON,latlon_PALEON,notes,location,spininital,spinfinish,runs
1,-94.5014665,45.6367623,AVO,Savanna & Forest,2016,AVO,in progress,1328,-94.75,45.75,lat45.75lon-94.75,0.5-degree,,,,
2,-91.560488,42.611412,BAC,Savanna,2015,BAC,done,1143,-91.75,42.75,lat42.75lon-91.75,0.5-degree,,,,
3,-96.714391,45.452834,BON,Savanna,2015,BON,done,1283,-96.75,45.25,lat45.25lon-96.75,0.5-degree,,,,
4,-91.38024,38.781611,BOO,Savanna,2015,BOO,not started,258,-91.25,38.75,lat38.75lon-91.25,1.0-degree,,,,
5,-88.922576,37.361427,CAC,Forest,2015,CAC,not started,606,-88.75,37.25,lat37.25lon-88.75,0.5-degree,,,,
6,-88.5773309,42.2198968,COR,Forest,2016,COR1,oaks done,632,-88.75,42.25,lat42.25lon-88.75,0.5-degree,,,,
7,-88.42196,42.305959,DUF,Woodland,2015,DUF,not started,1118,-88.25,42.25,lat42.25lon-88.25,0.5-degree,,,,
8,-94.154193,45.692335,ENG,Woodland,2015,ENG,done,498,-94.25,45.75,lat45.75lon-94.25,1.0-degree,,,,
9,-88.324435,42.41552,GLA,Savanna,2016,GLA,done,1118,-88.25,42.25,lat42.25lon-88.25,0.5-degree,,,,
10,-95.6792179,46.3141269,GLE,Savanna,2016,GLE2,not started,657,-95.75,46.25,lat46.25lon-95.75,0.5-degree,,,,
11,-95.6792179,46.3141269,GLE,Forest,2016,GLE1,in progress,657,-95.75,46.25,lat46.25lon-95.75,0.5-degree,,,,
12,-95.5312692,45.5412741,GLL,Forest,2016,GLL4,in progress,1327,-95.75,45.75,lat45.75lon-95.75,0.5-degree,,,,
13,-95.5312692,45.5412741,GLL,Savanna,2016,GLL1,in progress,1327,-95.75,45.75,lat45.75lon-95.75,0.5-degree,,,,
14,-95.5312692,45.5412741,GLL,Savanna,2016,GLL2,in progress,1327,-95.75,45.75,lat45.75lon-95.75,0.5-degree,,,,
15,-95.5312692,45.5412741,GLL,Savanna/Woodland,2016,GLL3,in progress,1327,-95.75,45.75,lat45.75lon-95.75,0.5-degree,,,,
16,-88.2120824,42.2335857,HIC,Savanna,2015,HIC,done,1118,-88.25,42.25,lat42.25lon-88.25,0.5-degree,,,,
17,-95.1648107,47.1950765,ITA,Forest,2016,ITA2,in progress,5,-95.25,47.25,lat47.25lon-95.25,PDL,geo,4/16/2016,4/23/2016,5/2/2016
18,-95.1648107,47.1950765,ITA,Forest,2016,ITA1,in progress,5,-95.25,47.25,lat47.25lon-95.25,PDL,geo,4/16/2016,4/23/2016,5/2/2016
19,-93.877725,41.99465,LED,Savanna,2015,NA,done,1080,-93.75,41.75,lat41.75lon-93.75,0.5-degree,,,,
20,-95.9530444,46.5388907,MAP,Woodland/Forest,2016,MAP3,not started,1397,-95.75,46.75,lat46.75lon-95.75,0.5-degree,,,,
21,-95.9530444,46.5388907,MAP,Forest,2016,MAP2,not started,1397,-95.75,46.75,lat46.75lon-95.75,0.5-degree,,,,
22,-95.9530444,46.5388907,MAP,Forest,2016,MAP1,not started,1397,-95.75,46.75,lat46.75lon-95.75,0.5-degree,,,,
23,-95.9530444,46.5388907,MAP,Savanna,2016,MAP4,not started,1397,-95.75,46.75,lat46.75lon-95.75,0.5-degree,,,,
24,-91.428596,43.765349,MOU,Savanna,2015,MOU,done,301,-91.25,43.75,lat43.75lon-91.25,1.0-degree,,,,
25,-94.071918,41.29472,PAM,Savanna,2015,PAM,done,1045,-94.25,41.25,lat41.25lon-94.25,0.5-degree,,,,
26,-89.7831306,43.0187912,PLE,Savanna,2015,PLE,done,1168,-89.75,43.25,lat43.25lon-89.75,0.5-degree,,,,
27,-88.4512901,42.2418522,PVC,Savanna,2016,PVC,done,1118,-88.25,42.25,lat42.25lon-88.25,0.5-degree,,,,
28,-92.785222,45.002288,STC,Savanna,2015,STC,done,1290,-92.75,45.25,lat45.25lon-92.75,0.5-degree,,,,
29,-93.514244,44.244909,TOW,Forest,2015,TOW,done,127,-93.75,44.25,lat44.25lon-93.75,1.5-degree,geo,7/10/2016,7/15/2016,7/26/2016
30,-93.715137,45.410739,UNC,Savanna,2016,UNC1,done,1288,-93.75,45.25,lat45.25lon-93.75,0.5-degree,,,,
31,-92.879364,40.291401,UNI,Savanna,2015,UNI,done,982,-92.75,40.25,lat40.25lon-92.75,0.5-degree,,,,
