"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA",29,1,"LakeAllie",44.8036,-94.5579,109713.936799964,977523.885962526,0,0.177681379400012,NA,NA,161.213346948472,352.053749777519,9
"NA.1",241,3,"BlackBassLake",46.128056,-93.703889,195674.921407681,1114636.89343597,0,0.172224853900447,NA,NA,184.228071774568,500.124001361962,9
"NA.2",249,4,"BeckmanLake",45.425,-93.183333,225860.925100248,1031871.05543425,0.259631785550887,0.210266578039123,NA,NA,161.455508254889,1779.46046108428,14
"NA.3",272,6,"BigJohnPond",47.559175,-94.970775,122022.866251561,1285729.27075439,0,0.202017691775542,NA,NA,418.845833989471,1367.17063334841,2
"1",275,7,"BillysLake",46.27058,-94.551555,133102.254321601,1139174.43738222,0.0602857852694519,0.189575752235238,28.2561139609047,8.36335405244086e-09,202.476489218905,1860.82015427532,22
"NA.4",280,8,"BlandinPond",47.133333,-93.666667,212989.641081798,1225260.94592028,0,0.178839731040419,NA,NA,189.455584945317,427.702935545225,6
"2",287,165,"BlueMoundsCreek",43.083333,-89.866667,462142.995999269,745549.409074632,0.18306574239832,0.119833762169239,NA,2.90819087860066e-11,1023.79054155588,1670.74412880153,2
"3",298,10,"BogDPond",47.1775,-95.162675,101479.189332518,1245816.98709436,0,0.14459794497949,25.0715965425959,9.04182346752501e-10,479.301453228978,1996.79898634771,6
"NA.5",305,11,"BossuotLake",44.296475,-93.73571,166712.63473781,912781.837383831,0,0.0711500466447449,NA,NA,152.854261875609,212.861827771865,4
"NA.6",325,13,"BurntsideLake",47.924167,-91.994722,348306.899741792,1297713.69156685,0.026848326640662,0.192622346753803,NA,NA,161.223830021697,312.087784743476,8
"4",332,200,"Camp11Lake",46.666667,-88.016667,635928.718785106,1133028.27880558,0.0202740987416445,0.225500480983447,132.677883986897,9.77069191660557e-09,335.736618164992,1878.24528360075,8
"NA.7",334,14,"CampbellLake",44.70722,-93.497645,191338.406333718,955686.364030169,0.144244336783632,0.0847486767917796,NA,NA,171.710999244098,302.829549445429,7
"NA.8",352,15,"CedarBog",45.411111,-93.197222,224593.2761041,1030470.34874412,0.259631785550887,0.210266578039123,NA,NA,493.145661933377,1306.80805799922,2
"NA.9",545,19,"DaltonLake",46.173889,-95.915278,27639.5488726582,1144129.65510178,0.0236600564152701,0.175080683657098,NA,NA,152.797922994911,221.066546185022,4
"NA.10",546,244,"DarkLake",45.275,-91.475,356758.938046272,1000213.39674261,0.0343239052781794,0.181904936242672,NA,NA,160,930,24
"7",684,166,"DevilsLake",43.4178,-89.73205,476056.304345733,781730.52752116,0,0.123121846221655,30.6926554801165,9.54612970512824e-11,219.128778804266,1910.3653160878,16
"NA.11",786,22,"EggertLake",44.47012,-93.619035,178418.072165914,930743.784850951,0.115610898392348,0.0630959704406479,NA,NA,152.472326213295,288.436794222044,6
"NA.12",822,24,"FarquarLake",44.75815,-93.16449,218186.64208869,958014.902012345,0.070673998267106,0.0622119719771266,NA,NA,165.475342057573,427.960861522443,11
"NA.13",824,25,"FawnLake",46.218889,-94.753333,116910.403055365,1135672.91149826,0.481695543298618,0.229346340166014,NA,NA,154.744612593081,341.425873055238,8
"NA.14",846,26,"FoxPond",47.165,-95.558333,71657.4290798263,1248937.30099233,0.0295702646372318,0.18800357530744,NA,NA,151.44862007302,189.847204984554,3
"NA.15",850,27,"FrenchLake",44.945765,-94.42074,122633.929290218,991686.939699306,0.324667078068495,0.165060373814261,NA,NA,160.511459945323,1888.37283797869,17
"8",860,168,"GassLake",44.05,-87.733333,641295.111114483,840927.292239302,0.0180169222754197,0.237064096725463,111.732572537178,1.60100853331006e-09,488.965753366442,1775.07004805618,3
"NA.16",869,28,"GeorgeLake",44.2329,-93.87066,155119.584058485,907176.523999103,0,0.0711500466447449,NA,NA,152.441541920945,276.4596956739,4
